Day,Part(s),Start,End,Notes
01,1+2,Fri  1 Dec 2023 17:37:26 PST,Fri Dec  1 21:33:16 PST 2023,
02,1,Sat  2 Dec 2023 10:20:17 PST,Sat  2 Dec 2023 11:08:37 PST,
02,2,,Sat  2 Dec 2023 22:16:21 PST,
03,1+2,Mon  4 Dec 2023 21:44:17 PST,Tue Dec  5 09:50:52 PST 2023,
04,1,Tue  5 Dec 2023 21:51:24 PST,Tue  5 Dec 2023 23:05:49 PST,
04,2,,Wed  6 Dec 2023 23:57:19 PST,
05,1,Sun 10 Dec 2023 19:40:29 PST,Sun 10 Dec 2023 20:46:36 PST,
05,2,,Fri Dec 15 16:05:52 PST 2023,
06,1+2,Thu 28 Dec 2023 09:25:00 PST,Thu 28 Dec 2023 11:03:09 PST,
07,1,Wed 10 Jan 2024 20:04:04 PST,Wed 10 Jan 2024 21:28:39 PST,
